ticket_id,ticket_text,category
1,Payment failed after checkout,billing
2,I was charged twice for my subscription,refund
3,App crashes when I try to upload a photo,technical_issue
4,Unable to login after password reset,login_problem
5,Cannot access my account after email change,account_access
6,Please add export to CSV for reports,feature_request
7,The new update introduced a bug in search,bug_report
8,Where is my shipment? Tracking is stuck,shipping
9,Need help canceling my subscription,subscription
10,How do I change my profile picture?,general_support
11,Refund still not received after two weeks,refund
12,Billing page shows an error when adding card,billing
13,Login page keeps spinning forever,login_problem
14,My account was locked after too many attempts,account_access
15,Feature to schedule reports would be great,feature_request
16,The app freezes when I open notifications,technical_issue
17,Search results are missing recent items,bug_report
18,Package marked delivered but I did not receive it,shipping
19,Subscription renewal date changed without notice,subscription
20,I need help updating my address,general_support
21,Payment declined but bank says it went through,billing
22,Please refund the extra charge on my invoice,refund
23,"Cannot reset password, login link expired",login_problem
24,Account shows wrong email and I cannot edit,account_access
25,It would be helpful to have dark mode,feature_request
26,App crashes on startup after latest update,technical_issue
27,Report downloads fail with a server error,bug_report
28,Shipping label created but no movement in transit,shipping
29,How do I pause my subscription for a month?,subscription
30,Need assistance with general account settings,general_support
